chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c07726.png,2309,89.0,8e-06,1.0517
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05106_c06958.png,2235,89.0,0.001781,1.0517
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c06446.png,3276,88.0,0.012562,1.0517
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04594_c06702.png,2564,87.0,0.007107,1.0517
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04338_c06958.png,2258,90.0,0.0014,1.0508
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04594_c06958.png,2209,90.0,0.001419,1.0508
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c06958.png,2230,93.0,0.00069,1.05
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c04654.png,2359,91.0,0.000546,1.05
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c05934.png,2249,91.0,0.000111,1.05
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c04142.png,2850,93.0,0.010162,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06898_c07214.png,2179,102.0,0.000347,1.0455
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c04398.png,2767,101.0,0.008743,1.0455
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c06702.png,2391,102.0,0.0019,1.0448
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c06446.png,2087,102.0,0.000168,1.0448
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06642_c07726.png,2136,95.6,0.000168,1.0408
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c06190.png,3232,86.0,0.016075,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05874_c06446.png,3173,86.0,0.01506,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c03374.png,2933,86.0,0.012611,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c06958.png,2357,86.0,0.004234,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c07982.png,2304,86.0,0.001278,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c05166.png,3941,85.0,0.022701,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05106_c04910.png,3915,85.0,0.022774,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c04910.png,3831,85.0,0.021736,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c04654.png,3451,85.0,0.018654,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c07726.png,2265,85.0,0.000313,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c07470.png,2220,85.0,0.000355,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c06446.png,3166,84.0,0.0149,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c04654.png,3150,84.0,0.015419,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04082_c04654.png,3122,84.0,0.01469,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c04910.png,2807,84.0,0.011887,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c07726.png,2228,84.0,0.000126,1.0357
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c04142.png,2292,88.0,1.1e-05,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c07214.png,2221,88.0,0.000679,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c04142.png,4100,87.0,0.021549,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c04910.png,3737,87.0,0.019569,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c03630.png,3508,87.0,0.018051,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06130_c06702.png,3060,87.0,0.013763,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c05422.png,3029,87.0,0.013931,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c07726.png,2453,87.0,0.000805,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04594_c07982.png,2425,87.0,0.000755,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c07726.png,2323,87.0,0.0,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c06446.png,2269,87.0,0.002125,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04338_c07726.png,2242,87.0,1.5e-05,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04082_c05934.png,4850,86.0,0.025196,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c05934.png,3906,86.0,0.022408,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c03374.png,3814,86.0,0.020466,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c03118.png,3330,86.0,0.016815,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c04398.png,3286,86.0,0.016796,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c04654.png,3219,86.0,0.01635,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c04398.png,3213,86.0,0.015118,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05874_c06702.png,2734,86.0,0.008667,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c07726.png,2506,86.0,0.00182,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c06702.png,2283,86.0,0.002251,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c05422.png,3162,85.0,0.015114,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c06702.png,2371,85.0,0.004597,1.0351
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c06190.png,3206,89.0,0.013691,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c06446.png,3168,89.0,0.011795,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c07982.png,2326,89.0,8.4e-05,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c03886.png,3800,88.0,0.019878,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c05166.png,3738,88.0,0.019867,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c05678.png,3614,88.0,0.019314,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c05678.png,3447,88.0,0.017506,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c06702.png,2574,88.0,0.00676,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c07726.png,2405,88.0,0.000416,1.0345
