chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c15217.png,2958,89.0,0.001637,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c15473.png,2883,89.0,0.001408,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c15473.png,2781,89.0,0.000648,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c12657.png,2654,89.0,1.1e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c12913.png,2643,89.0,6.9e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c14449.png,2634,89.0,0.00024,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c15473.png,2613,89.0,8.8e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c12913.png,2599,89.0,7.6e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c12657.png,2598,89.0,6.9e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c15473.png,2589,89.0,5e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c15473.png,2580,89.0,5e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c15217.png,2554,89.0,0.000164,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c13937.png,2873,93.0,0.008255,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c13681.png,2750,90.0,0.00304,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c13681.png,2565,90.0,0.00322,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c14705.png,2621,92.0,0.000278,1.0667
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c14193.png,2553,92.0,0.001976,1.0667
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c14961.png,2703,91.0,0.000763,1.0667
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c14449.png,2917,97.0,0.00898,1.0645
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c12657.png,3885,95.0,0.01786,1.0645
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c12145.png,3811,94.0,0.017475,1.0645
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09822_c14449.png,2561,94.0,0.001122,1.0645
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c12145.png,2560,104.0,0.000854,1.0625
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09822_c13681.png,3097,100.0,0.007267,1.0625
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c13169.png,3798,97.0,0.018261,1.0625
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c14705.png,2590,97.0,0.001152,1.0625
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c13937.png,2520,97.0,0.00185,1.0625
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c13169.png,3273,99.0,0.012852,1.0615
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c11633.png,3164,99.0,0.010265,1.0615
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c13681.png,2724,96.0,0.004837,1.0615
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c13681.png,2807,103.0,0.006241,1.0606
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c14705.png,2638,99.0,0.004452,1.0597
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c12401.png,2607,88.0,4e-06,1.0517
